name,fide_id,date_of_birth,birthplace,died,title_year,federation,gender,notes,links,latitude,longitude
"Dydyshko, Viacheslav",13500031,1949-04-10,Minsk,NA,1995,Belarus,Male,NA,https://ratings.fide.com/profile/13500031,53.9099668654401,27.5402848491857
"Kovalev, Vladislav",13504398,1994-01-06,Minsk,NA,2013,FIDE,Male,NA,https://ratings.fide.com/profile/13504398,53.8888306298081,27.5436645512881
"Lazavik, Denis",13515110,2006-11-17,Minsk,NA,2022,Belarus,Male,NA,https://ratings.fide.com/profile/13515110,53.8983076240469,27.5699840129439
"Liutsko, Igor",13500716,1962-04-06,Minsk,NA,2004,Belarus,Male,NA,https://ratings.fide.com/profile/13500716,53.9200219956666,27.5507138760241
"Nikitenko, Mihail",13506862,2000-03-28,Minsk,NA,2022,Belarus,Male,IM,https://ratings.fide.com/profile/13506862,53.8814893210001,27.5696346369053
"Romanenko, Vladimir",13502921,1985-04-06,Minsk,NA,2011,Belarus,Male,[note 84],https://ratings.fide.com/profile/13502921,53.9163361110652,27.5674949484731
"Shulman, Yury",13500520,1975-04-29,Minsk,NA,1995,United States,Male,NA,https://ratings.fide.com/profile/13500520,53.9125251971625,27.5571371802867
"Stupak, Kirill",13503758,1990-03-16,Minsk,NA,2011,Belarus,Male,NA,https://ratings.fide.com/profile/13503758,53.8947166064821,27.5416451624029
"Tihonov, Jurij",13500325,1978-07-03,Minsk,NA,2006,Belarus,Male,NA,https://ratings.fide.com/profile/13500325,53.9036867018158,27.5618903859837
"Zezulkin, Jurij",13500147,1971-08-16,Minsk,NA,1999,Poland,Male,NA,https://ratings.fide.com/profile/13500147,53.8777534493405,27.5646020488248
"Zhigalko, Andrey",13502247,1985-09-18,Minsk,NA,2006,Belarus,Male,NA,https://ratings.fide.com/profile/13502247,53.8825296458576,27.5364232411415
"Zhigalko, Sergei",13502956,1989-03-28,Minsk,NA,2007,Belarus,Male,NA,https://ratings.fide.com/profile/13502956,53.8907391087918,27.5847076401806
"Fedorov, Alexei",13500465,1972-09-27,Mogilev,NA,1995,Belarus,Male,NA,https://ratings.fide.com/profile/13500465,53.9198197982234,30.3297985062743
"Kasparov, Sergey",13500481,1968-08-08,Mogilev,NA,2007,Belarus,Male,NA,https://ratings.fide.com/profile/13500481,53.9281894081884,30.3676361897257
"Teterev, Vitaly",13501429,1983-01-07,Novopolotsk,NA,2007,Belarus,Male,NA,https://ratings.fide.com/profile/13501429,55.5357765403923,28.5547327006662
"Podolchenko, Evgeniy",13504134,1988-02-07,Salihorsk,NA,2010,Belarus,Male,NA,https://ratings.fide.com/profile/13504134,52.7920964380645,27.5336619730115
"Gorovets, Andrey",13504037,1987-09-14,Vitebsk,NA,2017,Belarus,Male,NA,https://ratings.fide.com/profile/13504037,55.1872057877722,30.19492527898
"Kovalev, Andrei",13500023,1961-11-07,Vitebsk,NA,1992,Belarus,Male,NA,https://ratings.fide.com/profile/13500023,55.1693700876002,30.2096695410932
